reason_code,reason_description,typical_score_delta
CV-001,Curfew compliance maintained,5
CV-002,Curfew violation recorded,-25
CV-003,Repeat curfew violation,-60
SC-010,Pro-social media post identified,8
SC-011,Dissenting media post flagged,-40
SC-012,Foreign media consumption flagged,-15
SC-013,VPN usage detected,-75
CV-020,Civic event attendance verified,12
CV-021,Public assembly without permit,-50
EM-030,Steady employment verified,10
EM-031,Employment lapse recorded,-20
FN-040,Bill payment on time,3
FN-041,Bill payment overdue,-8
HE-050,Health check-in compliance,6
HE-051,Mandatory screening missed,-18
TR-060,Internal travel permit granted,0
TR-061,Movement outside permitted zone,-45
TR-062,Border checkpoint compliance,4
NW-070,Network association: Tier-A citizen,15
NW-071,Network association: Tier-D citizen,-22
NW-072,Family member infraction,-10
AP-080,Successful score appeal,35
AP-081,Failed score appeal,-5
CL-090,Cultural ceremony attendance unverified,-12
CL-091,Approved community contribution,18
SR-100,Search query: emigration intent flagged,-55
SR-101,Search query: encryption tools flagged,-38
SR-102,Search query: civic education,7
PR-110,Approved purchase pattern,2
PR-111,Restricted goods purchase flagged,-28
