Front,Back
Term: AI Agent (component),"A software-based system that perceives inputs, updates an internal state, and executes actions via tools to achieve goals."
Term: Agentic AI (system pattern),A class of coordinated AI agents using a multi-step PRA cycle to execute a series of actions independently.
"The fundamental cycle through which AI agents operate consists of the steps Perceive, _____, and Act.",Reason
What is the primary function of the 'Reason' stage in the AI agent PRA cycle?,"Evaluating inputs against defined goals, policies, and constraints."
"What architectural layer in an agentic AI system coordinates agents, governs tool use, and enforces safety guardrails?",The orchestration layer.
"Which centralized governance component provides observability and oversight of AI system performance, risks, and compliance?",The Control tower.
How does 'Human-in-the-loop' (HITL) differ from other human oversight models?,A human must actively review inputs and outputs to make the final decision.
Which oversight model allows a system to operate autonomously while a human holistically monitors and intervenes as needed?,Human-on-the-loop (HOTL).
Define 'Human-out-of-the-loop' (HOOTL) in the context of agentic AI.,A system that operates fully autonomously and makes decisions independently without human interaction.
"In the AI agent lifecycle, what is 'short-term memory' primarily used for?",Maintaining context across multiple tasks during a single session.
Where is 'long-term memory' for AI agents typically stored to enable recall across multiple sessions?,In databases and vector stores.
What role is assigned to a 'Planner agent' within an agentic workflow?,Decomposing high-level goals into ordered steps and assigning work to other agents.
What is the specific responsibility of a 'Supervisor agent' in a multi-agent system?,Monitoring workflow progress and triggering kill switches if thresholds are breached.
What technology is used to decouple components in an orchestration layer to keep workflows portable and auditable?,"An event bus, such as Apache Kafka."
Acronym: IRAP,Information Security Registered Assessor Program.
What is the primary goal of the Australian Government IRAP?,To maximize the security of government data through independent assessment of ICT infrastructure.
Which Australian agency governs and administers the IRAP?,The Australian Cyber Security Centre (ACSC).
Acronym: PSPF,Protective Security Policy Framework.
Acronym: ISM,Information Security Manual.
What is the maximum security classification for which Microsoft Azure and Office 365 have been IRAP-certified?,PROTECTED.
What visual indicator in the Microsoft 365 Copilot UI confirms that Enterprise Data Protection (EDP) is active?,A green shield icon.
"Under Enterprise Data Protection, how is user prompt data handled regarding model training?",Prompts and responses are not used to train foundation models.
What is the 'single most important' distinction between enterprise and consumer Copilot regarding data boundaries?,Enterprise data stays within the Microsoft 365 service boundary.
