Front,Back
access control,The process of granting or denying requests for access to systems. Can also refer to the process of granting or denying requests for access to facilities.
Access Cross Domain Solution,A system permitting access to multiple security domains from a single client device.
accountable material,"Accountable material requires the strictest control over its access and movement. Accountable material includes TOP SECRET data, some types of caveated data and any data designated as accountable material by its originator."
application control,An approach in which only an explicitly defined set of trusted applications are allowed to execute on systems.
artificial intelligence application,"An application that contains a reasonable degree of artificial intelligence (AI) functionality. This includes AI-enabled applications, AI-powered applications and AI-driven applications."
artificial intelligence model,"A computational model that has been trained using data to recognise patterns; predict, classify or make decisions; or generate outputs in response to inputs, using machine-learning or AI techniques."
artificial intelligence-driven application,"An application that uses AI to autonomously control most of its decisions and behaviour. Such applications typically have low human involvement, with decisions being driven by AI. Without AI functionality, such applications are unable to operate as intended."
artificial intelligence-enabled application,"An application that uses AI for secondary or supporting functionality. Such applications typically have high human involvement, with decisions led by humans and informed by AI insights. Without AI functionality, such applications can still function effectively."
artificial intelligence-powered application,"An application that uses AI for its primary functionality. Such applications typically have moderate human involvement, with decisions shared between humans and AI. Without AI functionality, such applications can function, but only in a severely limited capacity."
assets,"In the context of technology, an overarching term used to refer to operating systems, applications, IT equipment, OT equipment, services and data. Such assets may also be referred to as technology assets."
asymmetric cryptographic algorithms,"Cryptographic algorithms where two different keys are used, commonly a private and a public key. Asymmetric cryptographic algorithms are also known as public key cryptographic algorithms."
attack surface,"The operating systems, applications, IT equipment, OT equipment and services used by a system. The greater the attack surface the greater the chances of malicious actors finding an exploitable vulnerability."
Australian Eyes Only data,"Data not to be passed to, or accessed by, foreign nationals."
Australian Government Access Only data,"Data not to be passed to, or accessed by, foreign nationals, except for seconded foreign nationals."
Australian Information Security Evaluation Program,A program under which evaluations are performed by impartial bodies against the Common Criteria. The results of these evaluations are then certified by the Australian Certification Authority within the Australian Signals Directorate (ASD).
