location_id,location_name,sensor_type,latitude,longitude,sensitivity_zone
LOC-001,Northern Trunk Checkpoint,ANPR,-14.45,132.27,High
LOC-002,Southern Trunk Checkpoint,ANPR,-14.52,132.29,High
LOC-003,Civic Plaza CCTV Cluster,CCTV-FR,-14.48,132.28,Medium
LOC-004,Town Hall Entry,Biometric,-14.481,132.281,High
LOC-005,Pandanus Reach Hospital Main,Biometric,-14.47,132.275,High
LOC-006,Hospital Pharmacy,Smartcard,-14.471,132.275,Medium
LOC-007,Boundary Flats Community Hub,CCTV-FR,-14.49,132.3,High
LOC-008,Mining Camp North Gate,ANPR,-14.42,132.25,Medium
LOC-009,Mining Camp South Gate,ANPR,-14.55,132.26,Medium
LOC-010,Pandanus Reach Primary School,Biometric,-14.485,132.282,Medium
LOC-011,Skills Institute Entry,Smartcard,-14.483,132.279,Low
LOC-012,Bottleshop ANPR Pole,ANPR,-14.487,132.283,Medium
LOC-013,Public Library,Smartcard,-14.484,132.284,Low
LOC-014,Pandanus Reach Supermarket,CCTV-FR,"s14.486, 132.281",Medium,
LOC-015,Roadhouse East,CCTV-FR,-14.495,132.31,Low
LOC-016,Roadhouse West,CCTV-FR,-14.475,132.245,Low
LOC-017,Community Liaison Office,CCTV-FR,-14.491,132.298,High
LOC-018,Vector Telecom Tower (geofence),Geolocation,-14.482,132.28,Medium
LOC-019,Aurora Communications Tower (geofence),Geolocation,-14.488,132.286,Medium
LOC-020,Civic Centre Smartmeter Hub,Utilities,-14.481,132.281,Low
LOC-021,Sports Oval,CCTV-FR,-14.479,132.278,Low
LOC-022,Heritage Park CCTV,CCTV-FR,-14.486,132.285,Low
LOC-023,Eastside Estate Entry,ANPR,-14.484,132.295,Low
LOC-024,Riverside Estate Entry,ANPR,-14.474,132.276,Low
LOC-025,Old Town Heritage Zone CCTV,CCTV-FR,-14.483,132.277,Low
LOC-026,Cattle Station Quarters Gate,Smartcard,-14.51,132.31,Low
LOC-027,Civic Harmony Office Foyer,Biometric,-14.482,132.282,High
LOC-028,Petrol Station Pump 1-4,ANPR,-14.487,132.282,Low
LOC-029,Pandanus Reach Airstrip,Biometric,-14.43,132.22,Restricted
LOC-030,Council Chambers,Biometric,-14.481,132.281,Medium
